cantidad;valor_unitario;valor_total;costo;producto;subcategoria;categoria;punto_venta;ciudad;provincia;pais;region
2;5.39;10.78;6.72;481Racing Socks, M;Socks;Clothing;The Bicycle Accessories Company;Alhambra;California;United States;North America
11;5.21;57.31;36.99;482Racing Socks, L;Socks;Clothing;The Bicycle Accessories Company;Alhambra;California;United States;North America
3;1020.59;3061.77;3247.53;583Road-350-W Yellow, 48;Road Bikes;Bikes;The Bicycle Accessories Company;Alhambra;California;United States;North America
2;37.25;74.5;55.14;546ML Road Pedal;Pedals;Components;Good Toys;Auburn;California;United States;North America
6;41.99;251.94;157.06;474Women's Mountain Shorts, S;Shorts;Clothing;Basic Sports Equipment;Baldwin Park;California;United States;North America
1;41.99;41.99;26.18;476Women's Mountain Shorts, L;Shorts;Clothing;Basic Sports Equipment;Baldwin Park;California;United States;North America
6;41.99;251.94;157.06;476Women's Mountain Shorts, L;Shorts;Clothing;Basic Sports Equipment;Baldwin Park;California;United States;North America
8;38.1;304.8;189.99;471Classic Vest, S;Vests;Clothing;Basic Sports Equipment;Baldwin Park;California;United States;North America
2;202.33;404.66;409.25;287LL Road Frame - Black, 52;Road Frames;Components;Aerobic Exercise Company;Camarillo;California;United States;North America
2;24.29;48.58;35.96;545LL Road Pedal;Pedals;Components;Aerobic Exercise Company;Camarillo;California;United States;North America
1;1466.01;1466.01;1554.95;374Road-250 Black, 44;Road Bikes;Bikes;Big-Time Bike Store;Camarillo;California;United States;North America
1;1466.01;1466.01;1554.95;376Road-250 Black, 48;Road Bikes;Bikes;Big-Time Bike Store;Camarillo;California;United States;North America
1;1466.01;1466.01;1554.95;378Road-250 Black, 52;Road Bikes;Bikes;Big-Time Bike Store;Camarillo;California;United States;North America
1;858.9;858.9;868.63;440HL Road Frame - Black, 44;Road Frames;Components;Big-Time Bike Store;Camarillo;California;United States;North America
2;323.99;647.98;687.3;584Road-750 Black, 58;Road Bikes;Bikes;Big-Time Bike Store;Camarillo;California;United States;North America
1;858.9;858.9;868.63;243HL Road Frame - Red, 44;Road Frames;Components;Big-Time Bike Store;Camarillo;California;United States;North America
1;672.29;672.29;713.08;382Road-550-W Yellow, 38;Road Bikes;Bikes;Big-Time Bike Store;Camarillo;California;United States;North America
2;672.29;1344.58;1426.16;384Road-550-W Yellow, 40;Road Bikes;Bikes;Big-Time Bike Store;Camarillo;California;United States;North America
2;672.29;1344.58;1426.16;390Road-550-W Yellow, 48;Road Bikes;Bikes;Big-Time Bike Store;Camarillo;California;United States;North America
1;72.16;72.16;53.4;408HL Road Handlebars;Handlebars;Components;Big-Time Bike Store;Camarillo;California;United States;North America
1;356.9;356.9;360.94;418ML Road Frame-W - Yellow, 38;Road Frames;Components;Big-Time Bike Store;Camarillo;California;United States;North America
1;356.9;356.9;360.94;436ML Road Frame-W - Yellow, 48;Road Frames;Components;Big-Time Bike Store;Camarillo;California;United States;North America
2;5.39;10.78;6.72;482Racing Socks, L;Socks;Clothing;Big-Time Bike Store;Camarillo;California;United States;North America
1;31.58;31.58;23.37;520HL Road Seat/Saddle;Saddles;Components;Big-Time Bike Store;Camarillo;California;United States;North America
3;37.25;111.75;82.7;546ML Road Pedal;Pedals;Components;Big-Time Bike Store;Camarillo;California;United States;North America
3;48.59;145.77;107.88;547HL Road Pedal;Pedals;Components;Big-Time Bike Store;Camarillo;California;United States;North America
3;1020.59;3061.77;3247.53;581Road-350-W Yellow, 42;Road Bikes;Bikes;Big-Time Bike Store;Camarillo;California;United States;North America
2;1430.44;2860.88;2963.88;561Touring-1000 Yellow, 46;Touring Bikes;Bikes;Vale Riding Supplies;Canoga Park;California;United States;North America
1;1430.44;1430.44;1481.94;564Touring-1000 Yellow, 60;Touring Bikes;Bikes;Vale Riding Supplies;Canoga Park;California;United States;North America
2;1430.44;2860.88;2963.88;573Touring-1000 Blue, 46;Touring Bikes;Bikes;Vale Riding Supplies;Canoga Park;California;United States;North America
1;1430.44;1430.44;1481.94;576Touring-1000 Blue, 60;Touring Bikes;Bikes;Vale Riding Supplies;Canoga Park;California;United States;North America
1;1430.44;1430.44;1481.94;576Touring-1000 Blue, 60;Touring Bikes;Bikes;Vale Riding Supplies;Canoga Park;California;United States;North America
2;728.91;1457.82;1510.3;579Touring-2000 Blue, 54;Touring Bikes;Bikes;Vale Riding Supplies;Canoga Park;California;United States;North America
1;728.91;728.91;755.15;579Touring-2000 Blue, 54;Touring Bikes;Bikes;Vale Riding Supplies;Canoga Park;California;United States;North America
9;20.99;188.91;117.78;217Sport-100 Helmet, Black;Helmets;Accessories;Farthermost Bike Shop;Carson;California;United States;North America
3;1466.01;4398.03;4664.84;374Road-250 Black, 44;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
3;1466.01;4398.03;4664.84;374Road-250 Black, 44;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
2;1466.01;2932.02;3109.9;376Road-250 Black, 48;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
2;1466.01;2932.02;3109.9;378Road-250 Black, 52;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
1;1466.01;1466.01;1554.95;380Road-250 Black, 58;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
6;14.69;88.14;54.96;465Half-Finger Gloves, M;Gloves;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
1;323.99;323.99;343.65;584Road-750 Black, 58;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
1;323.99;323.99;343.65;584Road-750 Black, 58;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
1;323.99;323.99;343.65;604Road-750 Black, 44;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
1;323.99;323.99;343.65;604Road-750 Black, 44;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
2;323.99;647.98;687.3;605Road-750 Black, 48;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
5;323.99;1619.95;1718.25;606Road-750 Black, 52;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
5;323.99;1619.95;1718.25;606Road-750 Black, 52;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
9;20.99;188.91;117.78;214Sport-100 Helmet, Red;Helmets;Accessories;Farthermost Bike Shop;Carson;California;United States;North America
1;20.99;20.99;13.09;222Sport-100 Helmet, Blue;Helmets;Accessories;Farthermost Bike Shop;Carson;California;United States;North America
1;5.39;5.39;6.92;225AWC Logo Cap;Caps;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
2;5.39;10.78;13.84;225AWC Logo Cap;Caps;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
4;29.99;119.96;153.97;234Long-Sleeve Logo Jersey, L;Jerseys;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
4;29.99;119.96;153.97;234Long-Sleeve Logo Jersey, L;Jerseys;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
2;1466.01;2932.02;3109.9;372Road-250 Red, 58;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
2;1466.01;2932.02;3109.9;372Road-250 Red, 58;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
1;672.29;672.29;713.08;382Road-550-W Yellow, 38;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
2;672.29;1344.58;1426.16;382Road-550-W Yellow, 38;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
3;672.29;2016.87;2139.24;384Road-550-W Yellow, 40;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
1;672.29;672.29;713.08;384Road-550-W Yellow, 40;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
3;672.29;2016.87;2139.24;386Road-550-W Yellow, 42;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
4;672.29;2689.16;2852.32;388Road-550-W Yellow, 44;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
1;672.29;672.29;713.08;388Road-550-W Yellow, 44;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
2;672.29;1344.58;1426.16;390Road-550-W Yellow, 48;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
1;672.29;672.29;713.08;390Road-550-W Yellow, 48;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
4;38.1;152.4;95.0;471Classic Vest, S;Vests;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
7;38.1;266.7;166.24;471Classic Vest, S;Vests;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
5;38.1;190.5;118.75;472Classic Vest, M;Vests;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
7;2.99;20.93;13.06;477Water Bottle - 30 oz.;Bottles and Cages;Accessories;Farthermost Bike Shop;Carson;California;United States;North America
3;5.39;16.17;10.09;481Racing Socks, M;Socks;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
4;5.39;21.56;13.45;481Racing Socks, M;Socks;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
6;5.39;32.34;20.17;482Racing Socks, L;Socks;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
5;5.39;26.95;16.81;482Racing Socks, L;Socks;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
6;72.0;432.0;269.28;483Hitch Rack - 4-Bike;Bike Racks;Accessories;Farthermost Bike Shop;Carson;California;United States;North America
3;72.0;216.0;134.64;483Hitch Rack - 4-Bike;Bike Racks;Accessories;Farthermost Bike Shop;Carson;California;United States;North America
4;4.77;19.08;11.89;484Bike Wash - Dissolver;Cleaners;Accessories;Farthermost Bike Shop;Carson;California;United States;North America
4;32.99;131.96;82.27;487Hydration Pack - 70 oz.;Hydration Packs;Accessories;Farthermost Bike Shop;Carson;California;United States;North America
1;32.39;32.39;41.57;488Short-Sleeve Classic Jersey, S;Jerseys;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
5;32.39;161.95;207.86;490Short-Sleeve Classic Jersey, L;Jerseys;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
